id|cocktail_id|ingredient_id|portion|created_at|updated_at
219|2|22|1 shot|2022-12-10 17:54:27.514392|2022-12-10 17:54:27.514392
220|2|4|1 shot|2022-12-10 17:54:27.520843|2022-12-10 17:54:27.520843
221|2|1|2 shots|2022-12-10 17:54:27.526202|2022-12-10 17:54:27.526202
222|2|103|1 shot|2022-12-10 17:54:27.531788|2022-12-10 17:54:27.531788
223|3|3|1/2 oz|2022-12-10 17:54:27.537618|2022-12-10 17:54:27.537618
224|3|83|Garnish with|2022-12-10 17:54:27.543335|2022-12-10 17:54:27.543335
225|3|22|1/2 oz|2022-12-10 17:54:27.548869|2022-12-10 17:54:27.548869
226|3|24|1 wedge|2022-12-10 17:54:27.554197|2022-12-10 17:54:27.554197
227|3|21|1/2 oz|2022-12-10 17:54:27.561633|2022-12-10 17:54:27.561633
228|3|104|1/2 oz|2022-12-10 17:54:27.569393|2022-12-10 17:54:27.569393
229|3|1|1/2 oz|2022-12-10 17:54:27.574978|2022-12-10 17:54:27.574978
230|3|9|1/2 oz|2022-12-10 17:54:27.580504|2022-12-10 17:54:27.580504
231|3|105|1-2 dash|2022-12-10 17:54:27.586068|2022-12-10 17:54:27.586068
232|4|1|2 oz|2022-12-10 17:54:27.5915|2022-12-10 17:54:27.5915
233|4|128|1 twist of|2022-12-10 17:54:27.726678|2022-12-10 17:54:27.726678
234|4|129|4 oz|2022-12-10 17:54:27.834922|2022-12-10 17:54:27.834922
235|5|1|1 oz|2022-12-10 17:54:27.840224|2022-12-10 17:54:27.840224
236|5|23|1 oz|2022-12-10 17:54:27.845611|2022-12-10 17:54:27.845611
237|5|130|3 oz|2022-12-10 17:54:27.957278|2022-12-10 17:54:27.957278
238|5|128|1 twist of|2022-12-10 17:54:27.962761|2022-12-10 17:54:27.962761
239|5|48|1/2 oz|2022-12-10 17:54:27.96802|2022-12-10 17:54:27.96802
240|5|103|1 oz|2022-12-10 17:54:27.973149|2022-12-10 17:54:27.973149
241|6|131|1|2022-12-10 17:54:28.084291|2022-12-10 17:54:28.084291
242|6|25|1 tsp|2022-12-10 17:54:28.089873|2022-12-10 17:54:28.089873
243|6|132|1|2022-12-10 17:54:28.20268|2022-12-10 17:54:28.20268
244|6|1|1 1/2 oz|2022-12-10 17:54:28.208334|2022-12-10 17:54:28.208334
245|6|30|1 tblsp|2022-12-10 17:54:28.217237|2022-12-10 17:54:28.217237
246|6|9|1 1/2 tsp|2022-12-10 17:54:28.231552|2022-12-10 17:54:28.231552
247|7|73|1|2022-12-10 17:54:28.242743|2022-12-10 17:54:28.242743
248|7|132|1|2022-12-10 17:54:28.25254|2022-12-10 17:54:28.25254
249|7|1|1 1/2 oz|2022-12-10 17:54:28.258207|2022-12-10 17:54:28.258207
250|7|9|1 tsp|2022-12-10 17:54:28.263603|2022-12-10 17:54:28.263603
251|7|48|1/2 oz|2022-12-10 17:54:28.269175|2022-12-10 17:54:28.269175
252|7|8|1 oz|2022-12-10 17:54:28.274444|2022-12-10 17:54:28.274444
253|8|36|1 dash|2022-12-10 17:54:28.280314|2022-12-10 17:54:28.280314
254|8|1|1 3/4 oz Bacardi|2022-12-10 17:54:28.285896|2022-12-10 17:54:28.285896
255|8|30|1 oz|2022-12-10 17:54:28.292274|2022-12-10 17:54:28.292274
256|8|49|1/2 tsp|2022-12-10 17:54:28.298652|2022-12-10 17:54:28.298652
257|9|25|1 tsp|2022-12-10 17:54:28.304416|2022-12-10 17:54:28.304416
258|9|133|1|2022-12-10 17:54:28.410984|2022-12-10 17:54:28.410984
259|9|134|1|2022-12-10 17:54:28.523092|2022-12-10 17:54:28.523092
260|9|1|1 1/2 oz|2022-12-10 17:54:28.529088|2022-12-10 17:54:28.529088
261|9|30|1 1/2 oz|2022-12-10 17:54:28.534117|2022-12-10 17:54:28.534117
262|9|9|1 tblsp|2022-12-10 17:54:28.539175|2022-12-10 17:54:28.539175
263|10|12|1 oz|2022-12-10 17:54:28.549782|2022-12-10 17:54:28.549782
264|10|1|1 oz|2022-12-10 17:54:28.55732|2022-12-10 17:54:28.55732
265|10|9|1 oz|2022-12-10 17:54:28.563502|2022-12-10 17:54:28.563502
266|10|48|1 oz|2022-12-10 17:54:28.568979|2022-12-10 17:54:28.568979
267|11|56|Juice of 1/2|2022-12-10 17:54:28.574917|2022-12-10 17:54:28.574917
268|11|12|3/4 oz|2022-12-10 17:54:28.58047|2022-12-10 17:54:28.58047
269|11|1|3/4 oz|2022-12-10 17:54:28.585569|2022-12-10 17:54:28.585569
270|11|9|3/4 oz|2022-12-10 17:54:28.590685|2022-12-10 17:54:28.590685
271|12|135|1 bottle|2022-12-10 17:54:28.703913|2022-12-10 17:54:28.703913
272|12|1|1 shot|2022-12-10 17:54:28.709441|2022-12-10 17:54:28.709441
273|13|1|2 oz|2022-12-10 17:54:28.715143|2022-12-10 17:54:28.715143
274|13|30|1 1/2 tsp|2022-12-10 17:54:28.720691|2022-12-10 17:54:28.720691
275|13|9|1 1/2 tsp|2022-12-10 17:54:28.725997|2022-12-10 17:54:28.725997
276|13|136|1 1/2 tsp|2022-12-10 17:54:28.836698|2022-12-10 17:54:28.836698
277|14|1|1 1/4 oz|2022-12-10 17:54:28.841937|2022-12-10 17:54:28.841937
278|14|137|1 tblsp|2022-12-10 17:54:28.935736|2022-12-10 17:54:28.935736
279|14|34|1 1/2 tsp|2022-12-10 17:54:28.940669|2022-12-10 17:54:28.940669
280|15|37|1 oz|2022-12-10 17:54:28.945803|2022-12-10 17:54:28.945803
281|15|83|Juice of 1/2|2022-12-10 17:54:28.950868|2022-12-10 17:54:28.950868
282|15|132|1|2022-12-10 17:54:28.955766|2022-12-10 17:54:28.955766
283|15|1|1 oz|2022-12-10 17:54:28.96055|2022-12-10 17:54:28.96055
284|15|138|1 tsp|2022-12-10 17:54:29.062464|2022-12-10 17:54:29.062464
285|15|33|""|2022-12-10 17:54:29.068223|2022-12-10 17:54:29.068223
286|16|25|3/4 L|2022-12-10 17:54:29.073465|2022-12-10 17:54:29.073465
287|16|1|1/2 L|2022-12-10 17:54:29.07837|2022-12-10 17:54:29.07837
288|16|74|1/2 kg chopped|2022-12-10 17:54:29.083256|2022-12-10 17:54:29.083256
289|17|56|Juice of 1/2|2022-12-10 17:54:29.088284|2022-12-10 17:54:29.088284
290|17|104|""|2022-12-10 17:54:29.093174|2022-12-10 17:54:29.093174
291|17|1|2 oz|2022-12-10 17:54:29.097993|2022-12-10 17:54:29.097993
292|18|56|Juice of 1/2|2022-12-10 17:54:29.103052|2022-12-10 17:54:29.103052
293|18|1|1 1/2 oz|2022-12-10 17:54:29.109808|2022-12-10 17:54:29.109808
294|18|138|1 tsp|2022-12-10 17:54:29.116071|2022-12-10 17:54:29.116071
295|19|139|1 cup crushed|2022-12-10 17:54:29.22423|2022-12-10 17:54:29.22423
296|19|25|1 tsp|2022-12-10 17:54:29.229422|2022-12-10 17:54:29.229422
297|19|134|1|2022-12-10 17:54:29.234705|2022-12-10 17:54:29.234705
298|19|1|1 1/2 oz|2022-12-10 17:54:29.239831|2022-12-10 17:54:29.239831
299|19|30|1 1/2 oz|2022-12-10 17:54:29.244978|2022-12-10 17:54:29.244978
300|19|9|1 tblsp|2022-12-10 17:54:29.251673|2022-12-10 17:54:29.251673
301|20|131|6|2022-12-10 17:54:29.259172|2022-12-10 17:54:29.259172
302|20|25|1 tsp|2022-12-10 17:54:29.266389|2022-12-10 17:54:29.266389
303|20|1|2 oz|2022-12-10 17:54:29.276407|2022-12-10 17:54:29.276407
304|20|30|1 tblsp|2022-12-10 17:54:29.282756|2022-12-10 17:54:29.282756
305|22|1|1 oz|2022-12-10 17:54:29.29347|2022-12-10 17:54:29.29347
306|22|48|1 tsp|2022-12-10 17:54:29.308047|2022-12-10 17:54:29.308047
307|22|47|1 oz|2022-12-10 17:54:29.321381|2022-12-10 17:54:29.321381
308|23|83|Juice of 1/2|2022-12-10 17:54:29.334643|2022-12-10 17:54:29.334643
309|23|1|1/2 oz|2022-12-10 17:54:29.345539|2022-12-10 17:54:29.345539
310|23|138|1 tsp|2022-12-10 17:54:29.35853|2022-12-10 17:54:29.35853
311|23|14|1 1/2 oz|2022-12-10 17:54:29.38959|2022-12-10 17:54:29.38959
312|23|33|""|2022-12-10 17:54:29.395511|2022-12-10 17:54:29.395511
313|24|139|cubes|2022-12-10 17:54:29.401664|2022-12-10 17:54:29.401664
314|24|50|""|2022-12-10 17:54:29.407193|2022-12-10 17:54:29.407193
315|24|1|1 shot Jamaican|2022-12-10 17:54:29.412476|2022-12-10 17:54:29.412476
316|24|19|1 shot|2022-12-10 17:54:29.417834|2022-12-10 17:54:29.417834
