id|name|description|instructions|glass_type|thumbnail|portions
2|155 Belmont||Blend with ice. Serve in a wine glass. Garnish with carrot.|White wine glass|https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg|"{""Vodka"": ""1 shot "", ""Dark rum"": ""1 shot "", ""Light rum"": ""2 shots "", ""Orange juice"": ""1 shot ""}"
3|3-Mile Long Island Iced Tea||Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg|"{""Gin"": ""1/2 oz"", ""Lemon"": ""Garnish with"", ""Vodka"": ""1/2 oz"", ""Bitters"": ""1 wedge "", ""Tequila"": ""1/2 oz"", ""Coca-Cola"": ""1/2 oz"", ""Light rum"": ""1/2 oz"", ""Triple sec"": ""1/2 oz"", ""Sweet and sour"": ""1-2 dash ""}"
4|A Furlong Too Late||Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.|Highball glass|https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg|"{""Light rum"": ""2 oz "", ""Lemon peel"": ""1 twist of "", ""Ginger beer"": ""4 oz ""}"
5|A Night In Old Mandalay||In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.|Highball glass|https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg|"{""Light rum"": ""1 oz "", ""Añejo rum"": ""1 oz "", ""Ginger ale"": ""3 oz "", ""Lemon peel"": ""1 twist of "", ""Lemon juice"": ""1/2 oz "", ""Orange juice"": ""1 oz ""}"
6|Acapulco||Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg|"{""Mint"": ""1 "", ""Sugar"": ""1 tsp "", ""Egg white"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Lime juice"": ""1 tblsp "", ""Triple sec"": ""1 1/2 tsp ""}"
7|Apricot Lady||In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/7ityp11582579598.jpg|"{""Orange"": ""1 "", ""Egg white"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Triple sec"": ""1 tsp "", ""Lemon juice"": ""1/2 oz "", ""Apricot brandy"": ""1 oz ""}"
8|Bacardi Cocktail||Shake together with ice. Strain into glass and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg|"{""Grenadine"": ""1 dash "", ""Light rum"": ""1 3/4 oz Bacardi "", ""Lime juice"": ""1 oz "", ""Sugar syrup"": ""1/2 tsp ""}"
9|Banana Daiquiri||Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.|Champagne flute|https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg|"{""Sugar"": ""1 tsp "", ""Banana"": ""1 "", ""Cherry"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Lime juice"": ""1 1/2 oz "", ""Triple sec"": ""1 tblsp ""}"
10|Between The Sheets||Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg|"{""Brandy"": ""1 oz "", ""Light rum"": ""1 oz "", ""Triple sec"": ""1 oz "", ""Lemon juice"": ""1 oz ""}"
11|Boston Sidecar||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg|"{""Lime"": ""Juice of 1/2 "", ""Brandy"": ""3/4 oz "", ""Light rum"": ""3/4 oz "", ""Triple sec"": ""3/4 oz ""}"
